rank,n,w,h,d,k,t,sig_bytes,mean_ms,median_ms,min_ms,max_ms,stdev_ms,sk_bytes,pk_bytes
83,16,4,12,2,4,8,0,35.6415,35.4028,35.1405,36.3823,0.574114,64,32
84,16,4,12,2,4,32,0,36.38974,36.6106,34.9758,37.9393,1.339715,64,32
85,16,4,12,2,6,8,0,36.70978,37.5352,34.4734,37.9102,1.443353,64,32
86,16,4,12,2,6,16,0,36.82998,36.76,34.9256,39.1502,1.837428,64,32
87,16,4,12,2,4,16,0,36.9407,36.3978,33.4551,41.2161,2.956183,64,32
88,16,4,12,2,6,32,0,37.5805,37.3538,35.7558,39.9647,1.533995,64,32
89,16,256,6,3,4,16,0,38.9457,39.904,34.8591,40.9122,2.404439,64,32
90,16,256,6,3,4,32,0,39.0034,38.9237,37.6824,40.4777,0.996339,64,32
91,16,256,6,3,4,8,0,39.2945,40.4325,34.5881,40.8491,2.668173,64,32
92,16,256,6,3,6,8,0,41.07554,38.7795,37.6515,46.1313,3.776077,64,32
93,16,256,6,3,6,16,0,42.10008,39.3283,37.7132,53.2768,6.364491,64,32
94,16,16,10,2,4,8,0,42.82198,42.4657,41.3209,45.8024,1.78365,64,32
95,16,16,10,2,6,8,0,42.93834,43.2588,36.2375,47.8409,4.498099,64,32
96,16,16,10,2,4,16,0,42.99072,41.4409,40.6428,47.4925,2.867261,64,32
97,16,64,12,3,8,16,0,43.44392,43.3558,41.8737,44.546,1.040247,64,32
98,16,256,6,3,6,32,0,43.76726,42.9686,41.5362,47.0029,2.23862,64,32
99,16,16,10,2,6,32,0,44.35498,50.2118,34.7293,51.3373,8.616347,64,32
100,16,256,6,3,8,16,0,44.78504,40.9383,39.5285,51.8275,6.040137,64,32
101,16,4,12,2,8,32,0,45.51666,41.6129,40.0299,56.1095,7.168085,64,32
102,16,64,12,3,8,32,0,46.12206,46.3862,44.6617,46.6889,0.831314,64,32
103,16,64,12,3,6,32,0,46.49764,46.2798,45.9009,47.1116,0.542746,64,32
104,16,64,12,3,6,8,0,46.5948,46.4062,42.7933,49.8551,2.5731,64,32
105,16,64,12,3,4,32,0,47.13504,46.9076,45.7388,49.4829,1.411154,64,32
106,16,64,12,3,4,16,0,47.13594,46.8707,46.6941,47.7045,0.485766,64,32
107,16,64,12,3,4,8,0,48.12506,47.4855,45.7626,50.5758,1.91894,64,32
